JobID|JobName|State|Start|End|NCPUS|CPUTime|Elapsed|MaxRSS|
1018767.batch|batch|COMPLETED|2020-03-21T17:59:10|2020-03-21T18:08:20|4|00:36:40|00:09:10|17145432K|
1018768|cromwell_fe669ccb_star|COMPLETED|2020-03-21T17:59:33|2020-03-21T18:08:55|4|00:37:28|00:09:22||
1018768.batch|batch|COMPLETED|2020-03-21T17:59:33|2020-03-21T18:08:55|4|00:37:28|00:09:22|17140612K|
1018769|cromwell_65201559_star|COMPLETED|2020-03-21T18:00:12|2020-03-21T18:14:37|4|00:57:40|00:14:25||
1018769.batch|batch|COMPLETED|2020-03-21T18:00:12|2020-03-21T18:14:37|4|00:57:40|00:14:25|17266676K|
1018770|cromwell_8551d195_SplitIntervals|COMPLETED|2020-03-21T18:00:12|2020-03-21T18:00:20|1|00:00:08|00:00:08||
1018770.batch|batch|COMPLETED|2020-03-21T18:00:12|2020-03-21T18:00:20|1|00:00:08|00:00:08|992K|
1018771|cromwell_65201559_fastqc|COMPLETED|2020-03-21T18:00:15|2020-03-21T18:04:23|2|00:08:16|00:04:08||
1018771.batch|batch|COMPLETED|2020-03-21T18:00:15|2020-03-21T18:04:23|2|00:08:16|00:04:08|347672K|
1018772|cromwell_8551d195_IndexBam|COMPLETED|2020-03-21T18:00:15|2020-03-21T18:00:33|1|00:00:18|00:00:18||
1018772.batch|batch|COMPLETED|2020-03-21T18:00:15|2020-03-21T18:00:33|1|00:00:18|00:00:18|25848K|
1018773|cromwell_bac683c9_SplitIntervals|COMPLETED|2020-03-21T18:00:15|2020-03-21T18:00:23|1|00:00:08|00:00:08||
1018773.batch|batch|COMPLETED|2020-03-21T18:00:15|2020-03-21T18:00:23|1|00:00:08|00:00:08|992K|
1018774|cromwell_bac683c9_IndexBam|COMPLETED|2020-03-21T18:00:16|2020-03-21T18:00:34|1|00:00:18|00:00:18||
1018774.batch|batch|COMPLETED|2020-03-21T18:00:16|2020-03-21T18:00:34|1|00:00:18|00:00:18|14468K|
1018775|cromwell_65201559_star|COMPLETED|2020-03-21T18:00:34|2020-03-21T18:13:13|4|00:50:36|00:12:39||
1018775.batch|batch|COMPLETED|2020-03-21T18:00:34|2020-03-21T18:13:13|4|00:50:36|00:12:39|17262184K|
1018776|cromwell_65201559_fastqc|COMPLETED|2020-03-21T18:00:34|2020-03-21T18:04:19|2|00:07:30|00:03:45||
1018776.batch|batch|COMPLETED|2020-03-21T18:00:34|2020-03-21T18:04:19|2|00:07:30|00:03:45|350956K|
1018777|cromwell_599a4891_star|COMPLETED|2020-03-21T18:00:38|2020-03-21T18:21:20|4|01:22:48|00:20:42||
1018777.batch|batch|COMPLETED|2020-03-21T18:00:38|2020-03-21T18:21:20|4|01:22:48|00:20:42|17266752K|
1018778|cromwell_599a4891_fastqc|COMPLETED|2020-03-21T18:00:39|2020-03-21T18:05:13|2|00:09:08|00:04:34||
1018778.batch|batch|COMPLETED|2020-03-21T18:00:39|2020-03-21T18:05:13|2|00:09:08|00:04:34|619224K|
1018779|cromwell_8551d195_AddReadGroup|COMPLETED|2020-03-21T18:00:40|2020-03-21T18:02:36|1|00:01:56|00:01:56||
1018779.batch|batch|COMPLETED|2020-03-21T18:00:40|2020-03-21T18:02:36|1|00:01:56|00:01:56|666752K|
1018780|cromwell_bac683c9_AddReadGroup|COMPLETED|2020-03-21T18:00:44|2020-03-21T18:02:13|1|00:01:29|00:01:29||
1018780.batch|batch|COMPLETED|2020-03-21T18:00:44|2020-03-21T18:02:13|1|00:01:29|00:01:29|669608K|
1018781|cromwell_cbe3fc12_SplitIntervals|COMPLETED|2020-03-21T18:00:44|2020-03-21T18:00:53|1|00:00:09|00:00:09||
1018781.batch|batch|COMPLETED|2020-03-21T18:00:44|2020-03-21T18:00:53|1|00:00:09|00:00:09|996K|
1018782|cromwell_cbe3fc12_IndexBam|COMPLETED|2020-03-21T18:00:47|2020-03-21T18:01:25|1|00:00:38|00:00:38||
1018782.batch|batch|COMPLETED|2020-03-21T18:00:47|2020-03-21T18:01:25|1|00:00:38|00:00:38|14456K|
1018783|cromwell_70c46e42_star|COMPLETED|2020-03-21T18:00:50|2020-03-21T18:23:58|4|01:32:32|00:23:08||
1018783.batch|batch|COMPLETED|2020-03-21T18:00:50|2020-03-21T18:23:58|4|01:32:32|00:23:08|17266376K|
1018784|cromwell_70c46e42_fastqc|COMPLETED|2020-03-21T18:00:50|2020-03-21T18:05:17|2|00:08:54|00:04:27||
1018784.batch|batch|COMPLETED|2020-03-21T18:00:50|2020-03-21T18:05:17|2|00:08:54|00:04:27|495312K|
1018785|cromwell_65201559_fastqc|COMPLETED|2020-03-21T18:00:53|2020-03-21T18:05:39|2|00:09:32|00:04:46||
1018785.batch|batch|COMPLETED|2020-03-21T18:00:53|2020-03-21T18:05:39|2|00:09:32|00:04:46|403668K|
1018786|cromwell_65201559_star|COMPLETED|2020-03-21T18:00:53|2020-03-21T18:19:21|4|01:13:52|00:18:28||
1018786.batch|batch|COMPLETED|2020-03-21T18:00:53|2020-03-21T18:19:21|4|01:13:52|00:18:28|17266556K|
1018787|cromwell_65201559_fastqc|COMPLETED|2020-03-21T18:00:53|2020-03-21T18:05:11|2|00:08:36|00:04:18||
1018787.batch|batch|COMPLETED|2020-03-21T18:00:53|2020-03-21T18:05:11|2|00:08:36|00:04:18|361596K|
1018788|cromwell_65201559_star|COMPLETED|2020-03-21T18:00:53|2020-03-21T18:15:35|4|00:58:48|00:14:42||
1018788.batch|batch|COMPLETED|2020-03-21T18:00:53|2020-03-21T18:15:35|4|00:58:48|00:14:42|17266576K|
